species;code;family;collection_date;community;collection_site;microhabitat_preference
Dianthus langeanus;040822-01;Caryophyllaceae;04/08/2022;Mediterranean;Penauta;Warm
Armeria duriaei;040822-02;Plumbaginaceae;04/08/2022;Mediterranean;Penauta;Warm
Luzula caespitosa;040822-04;Juncaceae;04/08/2022;Mediterranean;Penauta;Cold
Silene ciliata;040822-07;Caryophyllaceae;04/08/2022;Mediterranean;Penauta;Cold
Phyteuma hemisphaericum;040822-09;Campanulaceae;04/08/2022;Mediterranean;Penauta;Cold
Plantago holosteum;090822-02;Plantaginaceae;09/08/2022;Mediterranean;Solana;Warm
Carex sempervirens;190822-08;Cyperaceae;19/08/2022;Temperate;Hou;Crio
Armeria cantabrica;190822-09;Plumbaginaceae;19/08/2022;Temperate;Hou;Snow
Gypsophila repens;190822-10;Caryophyllaceae;19/08/2022;Temperate;Hou;Crio
Jasione cavanillesii;230822-02;Campanulaceae;23/08/2022;Temperate;Boches;Snow
Festuca glacialis;230822-04;Poaceae;23/08/2022;Temperate;Boches;Snow
Androsace villosa;310822-01;Primulaceae;31/08/2022;Temperate;Hou;Crio
